Year,Province,District,Dominant_Industry,Key_Anchor_Sectors,Anchor_firm_presence,Dominant_Value_Chain,Estimated_Number_of_SMEs,Estimated_Number_of_Employees,Production_Volume,Processing_Capacity,"Infrastructure (Roads, Electricity, Internet)",Logistics/Transport_Connectivity,Banking_Penetration (%),Access_to_Credit / Lending,Working_Capital_Gap_Score,Export_Oriented,Supply_Chain_Financing_Opportunity_Score,Opportunity_Level,Recommended_Banking_Product
2019,Khyber Pakhtunkhwa,Swat,Hospitality & Tourism,"Hospitality & Tourism, Agriculture",Yes,Horticulture,14471,144710,High,High,Medium,Medium,40.0,Low,2.6666666666666665,No,67.48,Medium,Inventory Finance
2020,Khyber Pakhtunkhwa,Swat,Hospitality & Tourism,"Hospitality & Tourism, Agriculture",Yes,Horticulture,14841,124219,High,High,Medium,Medium,40.0,Low,2.6666666666666665,No,67.48,Medium,Inventory Finance
2021,Khyber Pakhtunkhwa,Swat,Hospitality & Tourism,"Hospitality & Tourism, Agriculture",Yes,Horticulture,15220,149156,High,High,Medium,Medium,40.0,Low,2.6666666666666665,No,67.48,Medium,Inventory Finance
2022,Khyber Pakhtunkhwa,Swat,Hospitality & Tourism,"Hospitality & Tourism, Agriculture",Yes,Horticulture,15610,156100,High,High,Medium,Medium,40.0,Low,2.6666666666666665,No,67.48,Medium,Inventory Finance
2023,Khyber Pakhtunkhwa,Swat,Hospitality & Tourism,"Hospitality & Tourism, Agriculture",Yes,Horticulture,16009,179621,High,High,Medium,Medium,40.0,Low,2.6666666666666665,No,67.48,Medium,Inventory Finance
2024,Khyber Pakhtunkhwa,Swat,Hospitality & Tourism,"Hospitality & Tourism, Agriculture",Yes,Horticulture,16418,187822,High,High,Medium,Medium,40.0,Low,2.6666666666666665,No,67.48,Medium,Inventory Finance
2025,Khyber Pakhtunkhwa,Swat,Hospitality & Tourism,"Hospitality & Tourism, Agriculture",Yes,Horticulture,16838,214179,High,High,Medium,Medium,40.0,Low,3.0,No,72.13,High,Inventory Finance
2016,Balochistan,Turbat,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Date Palm,5278,36946,High,High,Low,Medium,25.0,Low,2.3333333333333335,Yes,66.55,Medium,PO Finance + Inventory Finance
2017,Balochistan,Turbat,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Date Palm,5416,37912,High,High,Low,Medium,25.0,Low,2.3333333333333335,Yes,66.55,Medium,PO Finance + Inventory Finance
2018,Balochistan,Turbat,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Date Palm,5557,38899,High,High,Low,Medium,25.0,Low,2.3333333333333335,Yes,66.55,Medium,PO Finance + Inventory Finance
2019,Balochistan,Turbat,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Date Palm,5702,45616,High,High,Low,Medium,25.0,Low,2.3333333333333335,Yes,66.55,Medium,PO Finance + Inventory Finance
2020,Balochistan,Turbat,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Date Palm,5850,43524,High,High,Low,Medium,25.0,Low,2.3333333333333335,Yes,66.55,Medium,PO Finance + Inventory Finance
2021,Balochistan,Turbat,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Date Palm,6003,47064,High,High,Low,Medium,25.0,Low,2.3333333333333335,Yes,66.55,Medium,PO Finance + Inventory Finance
2022,Balochistan,Turbat,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Date Palm,6159,49272,High,High,Low,Medium,25.0,Low,2.3333333333333335,Yes,66.55,Medium,PO Finance + Inventory Finance
2023,Balochistan,Turbat,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Date Palm,6320,58018,High,High,Low,Medium,25.0,Low,2.3333333333333335,Yes,66.55,Medium,PO Finance + Inventory Finance
2024,Balochistan,Turbat,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Date Palm,6485,60700,High,High,Low,Medium,25.0,Low,2.3333333333333335,Yes,66.55,Medium,PO Finance + Inventory Finance
2025,Balochistan,Turbat,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Date Palm,6654,70532,High,High,Low,Medium,25.0,Low,2.3333333333333335,Yes,66.55,Medium,PO Finance + Inventory Finance
2016,Balochistan,Zhob,Livestock & Dairy,Livestock & Dairy,No,Livestock & Dairy,1807,10842,High,High,Low,Low,25.0,Low,2.3333333333333335,No,57.47,Medium,Inventory Finance
2017,Balochistan,Zhob,Livestock & Dairy,Livestock & Dairy,No,Livestock & Dairy,1849,11094,High,High,Low,Low,25.0,Low,2.3333333333333335,No,57.47,Medium,Inventory Finance
2018,Balochistan,Zhob,Livestock & Dairy,Livestock & Dairy,No,Livestock & Dairy,1891,13237,High,High,Low,Low,25.0,Low,2.3333333333333335,No,57.47,Medium,Inventory Finance
2019,Balochistan,Zhob,Livestock & Dairy,Livestock & Dairy,No,Livestock & Dairy,1935,13545,High,High,Low,Low,25.0,Low,2.3333333333333335,No,57.47,Medium,Inventory Finance
2020,Balochistan,Zhob,Livestock & Dairy,Livestock & Dairy,No,Livestock & Dairy,1979,12883,High,High,Low,Low,25.0,Low,2.3333333333333335,No,57.47,Medium,Inventory Finance
2021,Balochistan,Zhob,Livestock & Dairy,Livestock & Dairy,No,Livestock & Dairy,2025,13892,High,High,Low,Low,25.0,Low,2.3333333333333335,No,57.47,Medium,Inventory Finance
2022,Balochistan,Zhob,Livestock & Dairy,Livestock & Dairy,No,Livestock & Dairy,2071,16568,High,High,Low,Low,25.0,Low,2.3333333333333335,No,57.47,Medium,Inventory Finance
2023,Balochistan,Zhob,Livestock & Dairy,Livestock & Dairy,No,Livestock & Dairy,2119,17291,High,High,Low,Low,25.0,Low,2.3333333333333335,No,57.47,Medium,Inventory Finance
2024,Balochistan,Zhob,Livestock & Dairy,Livestock & Dairy,No,Livestock & Dairy,2168,18038,High,High,Low,Low,25.0,Low,2.3333333333333335,No,57.47,Medium,Inventory Finance
2025,Balochistan,Zhob,Livestock & Dairy,Livestock & Dairy,No,Livestock & Dairy,2217,21150,High,High,Low,Low,25.0,Low,2.3333333333333335,No,57.47,Medium,Inventory Finance
