Year,Province,District,Dominant_Industry,Key_Anchor_Sectors,Anchor_firm_presence,Dominant_Value_Chain,Estimated_Number_of_SMEs,Estimated_Number_of_Employees,Production_Volume,Processing_Capacity,"Infrastructure (Roads, Electricity, Internet)",Logistics/Transport_Connectivity,Banking_Penetration (%),Access_to_Credit / Lending,Working_Capital_Gap_Score,Estimated_Production_Volume,Export_Oriented,Supply_Chain_Financing_Opportunity_Score,Opportunity_Level,Recommended_Banking_Product
2022,Khyber Pakhtunkhwa,Swat,Hospitality & Tourism,Hospitality & Tourism,Yes,Horticulture,15610,156100,Medium,High,Medium,Medium,40.0,Low,83.33,3746400,No,58.97,Low,Inventory Finance
2023,Khyber Pakhtunkhwa,Swat,Hospitality & Tourism,Hospitality & Tourism,Yes,Horticulture,16009,179621,Medium,High,Medium,Medium,40.0,Low,83.33,4226376,No,58.97,Low,Inventory Finance
2024,Khyber Pakhtunkhwa,Swat,Hospitality & Tourism,Hospitality & Tourism,Yes,Horticulture,16418,187822,Medium,High,Medium,Medium,40.0,Low,83.33,4334352,No,58.97,Low,Inventory Finance
2025,Khyber Pakhtunkhwa,Swat,Hospitality & Tourism,Hospitality & Tourism,Yes,Horticulture,16838,214179,Medium,High,Medium,Medium,40.0,Low,91.67,10911024,No,62.3,Medium,Inventory Finance
2016,Balochistan,Turbat,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,5278,36946,Medium,High,Low,Medium,25.0,Low,75.0,221676,Yes,64.23,Medium,PO Finance + Inventory Finance
2017,Balochistan,Turbat,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,5416,37912,Medium,High,Low,Medium,25.0,Low,75.0,227472,Yes,64.23,Medium,PO Finance + Inventory Finance
2018,Balochistan,Turbat,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,5557,38899,Medium,High,Low,Medium,25.0,Low,75.0,233394,Yes,64.23,Medium,PO Finance + Inventory Finance
2019,Balochistan,Turbat,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,5702,45616,Medium,High,Low,Medium,25.0,Low,75.0,273696,Yes,64.23,Medium,PO Finance + Inventory Finance
2020,Balochistan,Turbat,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,5850,43524,Medium,High,Low,Medium,25.0,Low,75.0,280800,Yes,64.23,Medium,PO Finance + Inventory Finance
2021,Balochistan,Turbat,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,6003,47064,Medium,High,Low,Medium,25.0,Low,75.0,288144,Yes,64.23,Medium,PO Finance + Inventory Finance
2022,Balochistan,Turbat,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,6159,49272,Medium,High,Low,Medium,25.0,Low,75.0,295632,Yes,64.23,Medium,PO Finance + Inventory Finance
2023,Balochistan,Turbat,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,6320,58018,Medium,High,Low,Medium,25.0,Low,75.0,341280,Yes,64.23,Medium,PO Finance + Inventory Finance
2024,Balochistan,Turbat,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,6485,60700,Medium,High,Low,Medium,25.0,Low,75.0,350190,Yes,64.23,Medium,PO Finance + Inventory Finance
2025,Balochistan,Turbat,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,6654,70532,Medium,High,Low,Medium,25.0,Low,75.0,399240,Yes,64.23,Medium,PO Finance + Inventory Finance
2016,Balochistan,Zhob,Livestock & Dairy,Livestock & Dairy,No,Livestock & Dairy,1807,10842,Low,High,Low,Low,25.0,Low,66.67,32526,No,49.33,Low,Inventory Finance
2017,Balochistan,Zhob,Livestock & Dairy,Livestock & Dairy,No,Livestock & Dairy,1849,11094,Low,High,Low,Low,25.0,Low,66.67,33282,No,49.33,Low,Inventory Finance
2018,Balochistan,Zhob,Livestock & Dairy,Livestock & Dairy,No,Livestock & Dairy,1891,13237,Low,High,Low,Low,25.0,Low,66.67,39711,No,49.33,Low,Inventory Finance
2019,Balochistan,Zhob,Livestock & Dairy,Livestock & Dairy,No,Livestock & Dairy,1935,13545,Low,High,Low,Low,25.0,Low,66.67,40635,No,49.33,Low,Inventory Finance
2020,Balochistan,Zhob,Livestock & Dairy,Livestock & Dairy,No,Livestock & Dairy,1979,12883,Low,High,Low,Low,25.0,Low,66.67,41559,No,49.33,Low,Inventory Finance
2021,Balochistan,Zhob,Livestock & Dairy,Livestock & Dairy,No,Livestock & Dairy,2025,13892,Low,High,Low,Low,25.0,Low,66.67,42525,No,49.33,Low,Inventory Finance
2022,Balochistan,Zhob,Livestock & Dairy,Livestock & Dairy,No,Livestock & Dairy,2071,16568,Low,High,Low,Low,25.0,Low,66.67,49704,No,49.33,Low,Inventory Finance
2023,Balochistan,Zhob,Livestock & Dairy,Livestock & Dairy,No,Livestock & Dairy,2119,17291,Low,High,Low,Low,25.0,Low,66.67,50856,No,49.33,Low,Inventory Finance
2024,Balochistan,Zhob,Livestock & Dairy,Livestock & Dairy,No,Livestock & Dairy,2168,18038,Low,High,Low,Low,25.0,Low,66.67,52032,No,49.33,Low,Inventory Finance
2025,Balochistan,Zhob,Livestock & Dairy,Livestock & Dairy,No,Livestock & Dairy,2217,21150,Low,High,Low,Low,25.0,Low,66.67,59859,No,49.33,Low,Inventory Finance
